Review,Label
Máy dùng tạm được. Đang dùng quen IP sáng máy này thì ko ưng về cảm ứng và chất lượng video. Xem nhiều gây nhức mắt. Được cái pin khoẻ. Dùng cả buổi sáng hết 8%. ,-1
Máy mới mua được 1 tuần.sao sạc pin từ 1h đến 4h30 mà pin mới có 85%  và nóng máy vậy a.cho e hỏi máy có bị gì k ạ,-1
"Qtv cho mình hỏi mình mua máy mới đc 2 tuần mà s độ sáng màn hình lúc thì tự tăng lúc thì tự giảm vậy.với tin nhắn gởi k đc cứ bảo lỗi k vậy.
",-1
"máy xài lâu mỗi mắt, màn hình giao diện màu sắc k được đẹp ,k sắc nét, mờ",-1
"Máy này thực sự sài lâu mỏi mắt hại mắt lướt fb ko mượt cảm giác vấp,mua thế giới di động sài 3 ngày mang trả lại mất toi 1tr ",-1
Mới mua hôm nay luôn. Mọi thứ rất tốt trừ camera thì quá tệ kg thể chấp nhận dc. Chụp ban đêm quá xấu,-1
"Các bác nào chưa biết đến samsung thì mình tư vấn cho , chỉ có Việt Nam với gì quên mới mua samsung thôi ,dòng này ko nước nào thèm mua hết ak ,, chỉ có bán cho người chưa hiểu như Việt Nam mình mới dc thôi.",-1
Nâng cấp lên 9.0 xài thua cả mấy con máy tàu 1 2tr lần cuối cùng mua máy samsung,-1
Hệ thốn cảm ứng đa điểm như con đầu... lỡ.mua hàng samsung giờ bán rẻ. Ae đừng mua về làm gì cho thêm ức chế mà lại tốn tiền.,-1
"Mua điện thoại chủ yếu chơi liên quân, mà chơi bị đơ không đi chuyển được nhà phát hành hứa sửa lổi mà tới giờ không thấy đâu, cấu hình mạnh mà chơi game thưa samsung galaxy j7 gro nữa, rất sai lầm khi mua dt này",-1
Máy a7 2018 khá tệ nóng máy chơi game cực kỳ tệ đơ lác máy nhanh nóng và nhanh hết pin ứng dụng thì thi thoảng đơ phải tắt bật máy với sử dụng đc cảm thấy cực kỳ thất vọng về a7 tiếc vì đã mua a7 tự hứa sau này ko dùng ss nữa chế độ bảo hành sau bán hàng cực kỳ tệ và ẩu tả vô cùng thất vọng bỏ tiền và sử dụng ko đạt yêu cầu ,-1
"Máy tôi xài 2 tháng lỗi loa, thi thoảng bị đơ do cài nhiều chương trình, 6g ram nhưng chỉ tạm đc thôi, mọi thứ tương đối ổn",-1
Mình đang dùng samsung A7_128Gb dc 2 tháng.Máy tuột pin rất nhanh.dùng mạng yếu.,-1
Quá tệ. Chưa dk 3 tháng nửa là nó bị ghì máy .càng cập nhật càng tệ. Đang có ý định chia tay dòng samsung.  128gb. Quá nản,-1
"Sao 3 tháng sài. Khi cập nhật lên 9, cảm ứng không nhạy lúc ăn lúc không, mạng chập chờn vào game pin mạng cao 460, trong khi sài 4G viettel. Bản 128g còn tệ hơn bản 64g. ",-1
Pin xuống nhanh chụp hình ko đẹp.  Mai mang trả lại mất 20%  tốn hơn thuê . Vừa mua gần 1 tháng ,-1
Đã mua và sử dụng được 3th. Lúc đầu rất ok. Sau thì ôi thôi 1 đống lỗi nó lòi ra ae ạ. Lúc mua nhân viên còn bảo hàng điện tử mà. Hên xui. Nghe v cũng nghi nghi. Nhưng mà thôi cứ mua vì thích. Rồi sau 3th. Sạc pin lâu quá chừng. Tuột pin thì nhanh. Màn hình dễ bị sướt . ai đã và đang định mua thì chuyển sang dòng khác đi. Tin tưởng Samsung để rồi giờ xài ch được 3th mà hối hận quá...,-1
Dùng dk 1 tháng máy lỗi k vào mạng được .thất vọng quá  về SAMSUNG quá.thế giới di động xem lại chất lượng sản phẩm đi nhé.,-1
Thất vọng quá. Bản 128gb với thông số kt khủng mà cùi hơn máy tàu 4 triệu ,-1
"Máy bị lỗi wifi k tìm kiểm đk,khi bắt được thì lại chạy yếu
khi cập nhật bản mới
máy chơi game chậm
",-1
Tôi mới mua đc 10 hôm cảm thấy cái này kém... muốn đổi cái khác đc k. A7 128 gb... cái này chơi game láng lắm,-1
"Sau  tg sử dụng thực sự quá thất vọng về máy.lỗi quá nhiều.trên lý thuyết,với mớ thông số kĩ thuật của máy đáng ra ko có điều j phải bàn đối với những bạn chỉ có nhu cầu chơi game,lướt fb hay quay phim chụp ảnh.nhưng trên thực tế lại khác xa.thứ nhất là cảm ứng.cực kì lỳ.chỉ cần tay dính chút mồ hôi là loạn rồi.dán thêm miếng cường lực thì càng tệ hại.thứ 2 là về chơi game.với cấu hình 6gb ram mà vận hành game thua xa mấy con máy tàu 1,5-2tr.ram 2g.thứ 3 là về pin.tụt như ăn vụng.tg sạc lại lâu nữa.tóm lại là rất ko hài lòng về sp",-1
"Mới lấy về hôm qua Máy dùng mượt nhưng có cái pin mau tuột quá, thua pin điện thoại j+ của vk rồi.",-1
"Vừa mới cập nhật mấy hôm trước. Cập nhật xong cam chụp xấu tệ, trong khi phiên bản trước cam chụp đẹp. Bực bội gì đâu
",-1
Máy cập nhật lên 9 chán k thể tả nổi. K chơi đc 1 game gì trong khi dùng 4g ngày 2g . Lúc còn ở 8 thì mượt mà. Mang ra tgdd làm gì k biết đc 1 lúc về nhà lại bị. K thể làm đc gì ,-1
"Máy vận hành tốt, chơi game mượt, quay phim chụp ảnh nét, chỉ tội sặc hơi lâu nói chung là tạm được",-1
Thất vọng. Cực kì nhanh nóng máy ram 6g dùng 4g tốc độ cao chơi liên quân tầm 2 ván là giật rồi ra kiểm tra ram vẫn còn dư tới hơn 3g. 4g thì tệ. Vào nhà vệ sinh xuống 2g rồi ra ngoài k tự lên 4g mà phải reset máy.sai lầm khi mua em này. Qua tháng xem a50 thế nào rồi đổi. Nếu k vì đồng bộ vs cái đồng hồ thì chắc k bh mua,-1
"Tôi mua Samsung galaxy A7 - 2018 tại thegioididong Bạch Đằng 259 đường Hà Nội quận Hồng Bàng tp Hải Phòng. Nhân viên phục vụ niềm nở nhiệt tình rất có hảo cảm. Nhưng sản phẩm Samsung A7 - 2018 lại làm tôi thất vọng và tiếc tiền. Bản 128GB ram 6Gb mà tốc độ 3G hoặc hút Wifi thì yếu kém so với oppo hay samsung loại phân khúc trên dưới 4 triệu so sánh cùng một vị trí và cùng mạng dịch vụ .  Máy chỉ xem youtube đã nóng mà vào cờ tướng zingplay bị đơ màn hình đứt quãng liên tục, chụp ảnh hay sell file ko hơn A5 2017 là bao mặc dù camera khủng và bộ 3 trong khi A5 camera đơn trước sau đều là 16megapixsell.(( vị trí sử dụng phường Sở Dầu quận Hồng Bàng tp Hải Phòng)). So sánh a7 2018 với sản phẩm Samsung A5 - 2017 thì A7 thua xa A5. Thứ nhất A5 - 2017 về mặt lưng và khung đẹp từng chi tiết và sang trọng,  thứ hai A5 - 2017 ram 3gb nhưng tốc độ mượt nhạy ko kém a7 ram 6gb. Chơi game nặng ký thì a5 2017 vẫn mượt nhạy ko nóng nhiều như a7 2018. Khả năng hút Wifi và 3G thì A5 2017 vượt trội hơn a7 2018. Mua a7 2018 về sử dụng vài ngày thấy hối hận quá. Giá như còn A5 2017 mới thì mình cũng đổi luôn. Samsung = CHẠY ĐUA MỐT VÀ GIÁ THÀNH THẤP,  CẮT GIẢM CHẤT LƯỢNG ĐẲNG CẤP.  Hy vọng mọi người có thể cân nhắc kỹ lưỡng khi mua sản phẩm mới của Samsung. ((Lưu ý là sản phẩm A5 2017 tôi đã từng mua tại thegioididong và sử dụng gần 2 năm rất tốt )) ",-1
"Thất vọng . Đang sài góp chưa xong . Mau nóng , nóng rồi cảm ứng hk đc bình thường",-1
Pin tụt quá nhanh.sai lầm khi mua máy.ko bằng con g530 dùng 3 năm.sai lầm khi đổi con g530 lấy con này.,-1
Máy  bị  lỗi  mà  ko  cho  đổi làm  ăn  rất  vớ vẩn  thế  này  thì  mua  máy  mới  làm  j  thà  mua  máy  cũ  dùng  còn  hơn ,-1
"1 đổi 1 3 lần mà vẫn bị lỗi mạng. quá là thất vọng.
1 đổi 1 3 lần mà vẫn bị lỗi mạng. quá là thất vọng.",-1
"pin thì yếu, kém hơn so với các dòng tầm giá này của oppo xiaomi hay vivo, wifi 3g 4g sóng gì cũng yếu nốt, nói ra thì kêu do nhà mạng, cục wifi thì nằm kế bên, sim thì gắn lại máy cũ xài 4g phà phà, máy chỉ nghe gọi đó, game lâu lâu mới đụng vào, chơi line coffee mà đứng giật giật thì làm được gì
hối hận khi mua máy này, giờ bán thì lỗ mới mua được gần 2 tuần mà xài thì phát bực",-1
"Chỉ trong 1 tuần tui phải đổi tận 3 máy A7. Cái đầu tiên camera bị nhòe và bấm bị đứg. Cái thứ 2 bị lỗi UI camera ok, bin cũg ok. Qua cái thứ ba hiện đang sử dụng camera lại bị nhòe, bin nhanh tụt hơn hai cái đầu bàn phím hiển thị lên chậm, xem video hay ảnh trên facebook zalo cực mờ người cứ bị nhòe nhòe k ro net mà còn thấy được một lớp màu trắng chấm chấm trên ảnh lẫn video. Nên xem lại sản phẩm. Bán giá rất cao mà chất lượng kém vô cùng, không nên quảng cáo tân bốc sản phẩm quá lố như vậy.",-1
Máy bị mất mạng ...pin xuống nhanh...bù lại thì sạc tạm chấp nhận...đang dùng bt thì mây bị khởi động lại như vừa bóc máy vậy 🤣🤣🤣,-1
Mơi ra tưởng máy ok lăm mua về mới thấy máy nó tệ sai lầm khi mua.tính ra giá gần 9tr ram 6gb bộ nhớ 128gb mà qá tệ chán,-1
"Máy mới mua vài ngày sao hay bị rớt mạng quá... Còn chụp hình tuyệt...pin tạm đc,xuống cũng nhanh...giờ muốn đổi cái khác đc ko",-1
"Mình mới mua dc 3 ngày, tất cả tạm thời đều okie chỉ có 1 cái ko hài lòng là pin tuột khá nhanh. Tuy máy mới nhưng tốc độ tuột pin lại ngang với j7 prime mà mình đã dùng 2 năm (hiện tại mình vẫn dùng con j7p song song với a7 nên đã so sánh được điều này). Mong NSX xem lại điều này.",-1
"Máy xài tạm ổn, pin tụt hơi nhanh, không có sạc nhanh, chân sạc micro, bắt sóng wifi, sóng đàm thoại kém nên 3*",-1
máy cũng khá ngon chạy khá mượt camera thì quá tuyệt thế mà sạc nhanh không được nên hơi tiếc,-1
"Lỗi sóng internet đang 4g tụt xuống E tắt máy khởi động lại mới lên được 4g ngày bị 2,3 lần mong nhà sx khắc phục ",-1
"Chào mọi người, mình đã sử dụng máy 3 ngày và xin chia sẻ như sau:
1. Cảm giác đầu tiên khi cầm máy phải nói là: ""quá nhẹ"", máy nhìn đẹp và các tác vụ liên quan với màn hình tốt,nhạy.
2. Cấu hình của máy chính là yếu tố làm mình chọn máy này, Ram 6GB, bộ nhớ 128GB, chip cũng cho hiệu năng tốt.
3. Về camera rất chuyên nghiệp cho sản phẩm ảnh, video rất tuyệt vời.
4. Điểm trừ cho máy mà bị nói nhiều nhất là khả năng kết nối sim 4G. Khi để sim 4G ở cài đặt ""tự động chọn 2G,3G,LTE"" sẽ ko thể vào mạng ổn định đc. Điểm trừ này vẫn còn khắc phục đc bằng cách cài đặt mạng để ""chỉ 3G"" sẽ cho mạng H+ ổn định.
5. Điểm trừ nặng nhất, chưa khắc phục đc là tốc độ sạc điện của máy quá chậm.",-1
"Sản phẩm A7 2018 bị quá nhiều lỗi, bị lỗi 4g rất nghiêm trọng. Mới mua được 2 tuần cảm thấy thất vọng, mai đem trả máy.",-1
Tạm ổn. Pin hết nhanh. Chơi Game máy nóng sau 2 trận Liên quân liên tục thì tự động restart.,-1
Máy xài hay tự khởi động lại.đổi lại cái mới cũng bị y như vậy mong nhà sx xem lại lổi này chứ như vậy làm sao bán cho khách hàng được ,-1
Mới mua 5 ngày chơi game bị treo máy cúp nguồn 3 4 lần bị lỗi rồi chán thật,-1
Mới mua tất cả đều ngon.pin tụt hỏi nhanh.với lại tắt wifi mở dữ liệu di động 4g lên là cũ hiện chữ E (mang 2g).fai tắt nguồn rồi mờ dự liệu đi động lên mới hiện chữ 4g,-1
Rất khó chịu về sản phẩm ... Đang sử dụng lại tự khởi động lại .. Đã đổi máy mới .. Nhân viên nói sẽ không còn bị như vậy nữa.. Vậy mà vẫn bị khởi động lại máy... Sản phẩm bị lỗi mà vẫn bán cho khách hàng... ,-1
"Mới mua A7 ram 6G mà máy chạy hơi bị đơ ko mượt bằng A7 2017, chuyển trang chậm. Chơi game thì ok mượt. Lúc chuyển đổi bàn phím bị delay. Đóng tất cả các tab cũng có khi delay. Trong khi ram còn trống 3.2G. Không biết là có lừa tình không nữa.Không như mong đợi. Cảm thấy thất vọng",-1
"Mình mua bản 6G từ ngày ra mắt.
Máy mượt, pin đủ xài 1 ngày, vân tay, nhận diện khuôn mặt nhạy, camera ổn, loa bình thường.
Điểm trừ duy nhất có lẽ là chơi liên quân không được trong khi wifi 5 cọc sóng. 😅
Lúc mua có mua kèm cục sạc dự phòng, không biết do k có hay sơ xuất quên mà về lại k có cáp. :3",-1
Máy trục trặc về mạng liên tục rớt mạng tắt đi bật lại thì sài đc 1 lúc lại bị chán,-1
